#月,日,時,分,傾斜面日射強度,直達日射強度,散乱光日射強度,反射光日射強度,水平面日射強度,PV電力,発電電力,PV電圧,PV電流,PV温度,外気温度,システム出力係数,PV効率,PV電力(定格比),発電電力(定格比)
#月,日,時,分,kW/㎡,kW/㎡,kW/㎡,kW/㎡,kW/㎡,kW,kW,V,A,℃,℃,%,%,kW/kWp,kW/kWp
1,2,6,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,1.10,0.00,0.00,0.00,0.00
1,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,1.85,0.00,0.00,0.00,0.00
1,2,7,30,0.02,0.00,0.02,0.00,0.02,2.12,2.08,351.37,6.04,3.29,2.60,105.38,24.51,0.02,0.02
1,2,8,0,0.10,0.05,0.05,0.00,0.07,7.13,7.00,371.66,19.19,6.70,3.35,73.57,17.11,0.07,0.07
1,2,8,30,0.15,0.07,0.08,0.00,0.12,11.48,11.28,382.70,30.01,9.18,4.10,78.03,18.15,0.12,0.12
1,2,9,0,0.29,0.20,0.08,0.00,0.22,26.80,26.31,393.43,68.11,14.91,5.05,93.78,21.81,0.28,0.27
1,2,9,30,0.42,0.33,0.09,0.00,0.32,38.70,38.00,396.81,97.53,20.29,6.00,93.48,21.74,0.40,0.39
1,2,10,0,0.47,0.35,0.13,0.00,0.37,43.38,42.60,397.07,109.26,22.35,6.30,93.28,21.69,0.45,0.44
1,2,10,30,0.52,0.36,0.16,0.00,0.42,48.01,47.14,397.06,120.91,24.41,6.60,93.02,21.64,0.50,0.49
1,2,11,0,0.59,0.45,0.14,0.00,0.48,53.77,49.50,396.52,135.60,27.24,7.20,86.80,21.53,0.56,0.51
1,2,11,30,0.65,0.54,0.11,0.00,0.53,59.43,49.50,395.66,150.21,30.07,7.80,78.10,21.42,0.61,0.51
1,2,12,0,0.66,0.54,0.12,0.00,0.53,59.63,49.50,395.16,150.90,30.67,8.30,77.74,21.39,0.62,0.51
1,2,12,30,0.66,0.54,0.12,0.00,0.54,59.97,49.50,394.65,151.96,31.34,8.80,77.18,21.36,0.62,0.51
1,2,13,0,0.51,0.31,0.19,0.00,0.42,46.39,45.55,395.36,117.34,25.72,8.45,92.71,21.56,0.48,0.47
1,2,13,30,0.33,0.08,0.25,0.00,0.30,30.53,29.98,393.39,77.62,19.40,8.10,93.21,21.68,0.32,0.31
1,2,14,0,0.31,0.09,0.22,0.00,0.27,28.49,27.98,391.58,72.77,18.65,8.10,93.21,21.68,0.29,0.29
1,2,14,30,0.28,0.10,0.18,0.00,0.24,25.89,25.42,390.65,66.27,17.68,8.10,93.21,21.68,0.27,0.26
1,2,15,0,0.28,0.13,0.15,0.00,0.23,25.74,25.28,390.88,65.86,17.27,7.75,93.27,21.69,0.27,0.26
1,2,15,30,0.28,0.16,0.11,0.00,0.22,25.65,25.19,391.13,65.58,16.88,7.40,93.34,21.71,0.27,0.26
1,2,16,0,0.18,0.10,0.08,0.00,0.14,15.01,14.74,386.50,38.83,13.04,6.95,85.08,19.79,0.16,0.15
1,2,16,30,0.07,0.02,0.05,0.00,0.06,6.14,6.03,373.24,16.45,8.99,6.50,85.20,19.82,0.06,0.06
1,2,17,0,0.02,0.00,0.02,0.00,0.02,2.49,2.44,351.47,7.08,6.90,6.05,101.42,23.59,0.03,0.03
1,2,17,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.60,5.60,0.00,0.00,0.00,0.00
1,2,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.70,5.70,0.00,0.00,0.00,0.00
1,2,18,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.80,5.80,0.00,0.00,0.00,0.00
1,2,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,5.50,0.00,0.00,0.00,0.00
1,2,19,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20,5.20,0.00,0.00,0.00,0.00
1,2,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.05,5.05,0.00,0.00,0.00,0.00
1,2,20,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.90,4.90,0.00,0.00,0.00,0.00
1,2,21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,4.55,0.00,0.00,0.00,0.00
1,2,21,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.20,4.20,0.00,0.00,0.00,0.00
1,2,22,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00
1,2,22,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.80,3.80,0.00,0.00,0.00,0.00
1,2,23,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.95,3.95,0.00,0.00,0.00,0.00
1,2,23,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.10,4.10,0.00,0.00,0.00,0.00
1,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.80,3.80,0.00,0.00,0.00,0.00
1,3,0,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.80,3.80,0.00,0.00,0.00,0.00
1,3,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,3.70,0.00,0.00,0.00,0.00
1,3,1,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,3.60,0.00,0.00,0.00,0.00
